"","ref.A.inColumnsAlsoPresentIn.B.moduleSize","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfsummary.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfdensity.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfconnectivity.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.propVarExplained.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanSignAwareKME.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanSignAwareCorDat.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanAdj.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanClusterCoeff.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanMAR.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kIM","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kME","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kMEall","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.cor","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.clusterCoeff","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.MAR"
"gold",100,-30.0470162316235,-10.5440491782175,-49.5499832850294,0,-18.1043417874682,-610.891014187992,-2.98375656896692,NA,-2.09618572114079,-35.8359577884537,-49.5499832850294,-9188.9299858027,-928.101854315199,NA,-36.7531024179418
"HuAgeGBsplit_00",18,-54.8976784389096,-103.5212222032,-6.27413467461953,-131.985432982222,-6.13300508702175,-75.0570114241773,-1277151.32351873,NA,-516669.710797223,-3.06341817293563,-6.27413467461953,-10216.6040284399,-40.1583132695781,NA,-2.72434746997499
"HuAgeGBsplit_01",3000,-1392.10712087359,-709.703548298778,-2074.5106934484,-423.665966416451,-995.741130181106,-727862.736224341,-181.697909269515,NA,-4.62129725443958,-374.275336193503,-2074.5106934484,-23349.7683888443,-791925.677116303,NA,-640.26223378288
"HuAgeGBsplit_02",3000,-1551.98801109922,-1206.85904741996,-1897.11697477849,-831.258496071197,-1582.45959876872,-395341.300819893,-692.420618051915,NA,-4.35096218465573,-787.283295807621,-1897.11697477849,-15664.7097410211,-804333.794876886,NA,-713.775893704137
"HuAgeGBsplit_03",1234,-12664.9325276757,-24690.6314583572,-639.233596994128,-17925.3525813685,-3544.00230371933,-491759.864242167,-31455.910335346,NA,-5.37976195302805,-358.853652672823,-639.233596994128,-15695.7876478078,-226127.352480316,NA,-471.313999612175
"HuAgeGBsplit_04",938,-11319.21866061,-21985.9070494301,-652.53027178997,-11135.9820905473,-1989.74994504006,-275000.749443754,-32835.8320083129,NA,-15.1484200957878,-211.237420266189,-652.53027178997,-9631.53598040275,-73860.530092911,NA,-256.654221266813
"HuAgeGBsplit_05",809,-61232.2457430206,-122124.235890588,-340.25559545293,-12901.9488502749,-2638.32856686884,-351150.66605398,-231346.522930902,NA,-181.718683104479,-224.986985584092,-340.25559545293,-10857.9957209475,-62665.289424711,NA,-218.75290085603
"HuAgeGBsplit_06",727,-3453.72185500392,-6332.19382029553,-575.249889712305,-8030.76162300992,-1684.38560758147,-90480.7929730429,-4633.62601758115,NA,-42.3345977922448,-188.485273614161,-575.249889712305,-10725.1304190171,-44591.4090670215,NA,-243.599857630532
"HuAgeGBsplit_07",724,-4859.90919600951,-9397.62615219635,-322.192239822682,-5772.4048149806,-1299.58138851368,-90727.4877278893,-13022.8474894121,NA,-94.8891969716443,-95.9656394305252,-322.192239822682,-11278.8319931298,-38385.9271613727,NA,-392.000531107037
"HuAgeGBsplit_08",673,-7871.55509563279,-15371.89917426,-371.211017005618,-11479.0390172756,-1548.991210394,-108721.284022054,-19264.7593312444,NA,-39.5642890243592,-79.4470578321814,-371.211017005618,-10934.6551847898,-37015.2375774004,NA,-165.251738891155
"HuAgeGBsplit_09",643,-6590.13278703132,-12776.6536298179,-403.611944244688,-9577.97625189577,-2253.59136716256,-95808.114386039,-15975.3310077401,NA,-24.7659528815178,-151.642327755794,-403.611944244688,-15811.026613809,-56112.6177091839,NA,-119.902744316096
"HuAgeGBsplit_10",629,-3908.66904359785,-7406.82613126453,-410.511955931173,-7429.79922093454,-1379.03714034704,-128703.2207734,-7383.85304159452,NA,-20.1823948444504,-220.806948075531,-410.511955931173,-10300.2249445926,-54918.8836648431,NA,-155.001563669931
"HuAgeGBsplit_11",581,-2956.1887691427,-5569.84352135119,-342.534016934207,-4575.59695178132,-1853.2280325827,-68026.3850590428,-6564.09009092106,NA,-74.7610229241894,-143.200239794952,-342.534016934207,-12753.3905106956,-34476.5060927403,NA,-213.368253334117
"HuAgeGBsplit_12",496,-8005.84894234236,-15654.6083117909,-357.089572893865,-8900.72448880439,-1166.93240339839,-65820.8720821705,-22408.4921347773,NA,-84.9271725579273,-115.879001833483,-357.089572893865,-9551.37925863533,-21794.4415161176,NA,-75.91507048769
"HuAgeGBsplit_13",493,-7716.44883756811,-15209.6673825164,-223.230292619817,-3746.83395937232,-1221.49664337671,-68488.6570124683,-26672.5008056605,NA,-146.159901810167,-135.61983787182,-223.230292619817,-10756.1141925992,-32058.021173405,NA,-161.690005091587
"HuAgeGBsplit_14",492,-9133.57627117782,-17958.6730121781,-308.479530177586,-6480.17780718948,-1162.58727476775,-51537.4188824125,-29437.1682171666,NA,-78.7343266445463,-132.279212869358,-308.479530177586,-10632.0662538818,-30016.4325126025,NA,-163.448183660477
"HuAgeGBsplit_15",488,-3263.15163974464,-6313.76360613716,-212.539673352117,-5284.69685846212,-813.604248327821,-44487.4022946461,-7342.83035381221,NA,-54.4212711158516,-118.230996194262,-212.539673352117,-7336.48842068895,-28477.2702351549,NA,-47.8536484333498
"HuAgeGBsplit_16",487,-21307.4959152955,-42365.5529511057,-249.438879485391,-15054.9840449397,-1208.40819736232,-109291.038785168,-69676.1218572717,NA,-272.853279613685,-82.5317200136255,-249.438879485391,-9547.3164694731,-18056.4298440874,NA,-84.7045867393124
"HuAgeGBsplit_17",421,-2043.60404871811,-3847.56231439368,-239.645783042533,-4587.96733176887,-691.564358086331,-33226.6086697254,-3107.15729701849,NA,-18.2870451865247,-85.6418866018419,-239.645783042533,-11070.6125642212,-21670.5432184746,NA,-79.9102961674958
"HuAgeGBsplit_18",394,-6520.5956446334,-12881.1001710603,-160.091118206533,-5606.33722907565,-1085.90081468173,-43274.3216956669,-20155.8631130449,NA,-72.8433547442315,-93.7085149184485,-160.091118206533,-17992.5973503821,-16992.6870972642,NA,-119.421144849527
"HuAgeGBsplit_19",394,-4520.41433723097,-8767.2158638923,-273.612810569629,-4887.06459350543,-798.386959286916,-45319.1547650488,-12647.3671342792,NA,-72.7735078180697,-97.1006921330731,-273.612810569629,-9281.0912954816,-18659.8183522373,NA,-79.3211238185917
"HuAgeGBsplit_20",381,-10587.4307390446,-20989.3740115834,-185.487466505831,-7665.42283403987,-1252.88807205838,-83736.3117980799,-34313.3251891269,NA,-138.233841418996,-97.008402561007,-185.487466505831,-11562.6252296682,-19841.9520359187,NA,-57.793085342918
"HuAgeGBsplit_21",365,-38222.6542959083,-76229.5312238923,-215.777367924422,-22812.698864439,-3036.38486319153,-129646.363583346,-376591.536997047,NA,-204.814138898201,-58.7403513906343,-215.777367924422,-11627.6803586198,-14475.124198411,NA,-74.678226679486
"HuAgeGBsplit_22",345,-2654.29599742102,-5056.58408057402,-252.00791426803,-6204.64158175466,-1143.88919034281,-63745.5624554405,-3908.52657939337,NA,-5.30691167945154,-115.481128631212,-252.00791426803,-12150.9935330721,-13181.9930576486,NA,-106.645237673234
"HuAgeGBsplit_23",321,-12531.4234666277,-24904.8314394238,-158.015493831608,-13920.7897051108,-1308.04104471187,-64221.7193442953,-35888.8731737367,NA,-133.48227773248,-112.75416903937,-158.015493831608,-8739.18458275532,-10369.8602035395,NA,-131.629125901488
"HuAgeGBsplit_24",312,-5243.33610497303,-10320.6898945065,-165.982315439561,-6089.02024187137,-756.532415621648,-30392.0645417225,-14552.3595471416,NA,-233.453196328952,-36.1422574661356,-165.982315439561,-9091.3643254901,-11731.5340749503,NA,-72.8126677995429
"HuAgeGBsplit_25",305,-5997.07643450782,-11833.9488224244,-160.20404659123,-7432.10800915411,-980.143926481771,-46104.3554874854,-16235.7896356947,NA,-51.5169418857638,-81.7205692230198,-160.20404659123,-8313.1997452802,-9588.92315900083,NA,-144.238845266029
"HuAgeGBsplit_26",303,-17903.5529707473,-35670.5140223218,-136.591919172839,-12422.2923109219,-950.906570983631,-58918.7357337216,-100613.056515097,NA,-157.928291366403,-70.2446855393992,-136.591919172839,-8169.84671188636,-5995.07434275312,NA,-66.4989305406125
"HuAgeGBsplit_27",249,-4084.98832882224,-8019.80739329301,-150.169264351464,-5425.40027980852,-746.526532045026,-39023.1871516684,-10614.2145067775,NA,-95.9438850263223,-81.6656508501479,-150.169264351464,-9706.14003485736,-4768.27776817347,NA,-78.3614692234888
"HuAgeGBsplit_28",246,-8261.03282957389,-16433.3907283673,-88.6749307804768,-4826.46399305682,-513.7501966973,-28040.3174636778,-169421.605940451,NA,-755.083461363913,-88.6749307804768,-78.3284836868776,-5831.59606738822,-7193.71766555354,NA,-74.566867550187
"HuAgeGBsplit_29",242,-2586.5029553894,-5074.50525489662,-98.5006558821753,-3650.5588204152,-821.030372575619,-21865.1532678026,-6498.45168937804,NA,-60.6661164608184,-21.71838848654,-98.5006558821753,-14099.0688688814,-6057.1947852404,NA,-44.6146529677234
"HuAgeGBsplit_30",234,-5261.88037268045,-10377.2889193832,-146.47182597771,-5006.95427284252,-750.397137843795,-19413.0532301009,-15747.6235659239,NA,-176.54796175263,-55.7099234772507,-146.47182597771,-12946.9552306146,-5965.89415406453,NA,-52.8755074626563
"HuAgeGBsplit_31",219,-6496.01632953918,-12895.3407275338,-96.6919315445705,-5979.09755126179,-642.247808610511,-40863.7335677468,-19811.5839038058,NA,-47.6073027987484,-35.2480364770396,-96.6919315445705,-6510.45951884204,-4828.69045658072,NA,-30.8380760190166
"HuAgeGBsplit_32",204,-12077.3929316412,-24060.7345224754,-94.0513408069611,-12982.5580771507,-942.929223403711,-45780.1251696639,-35138.9109678002,NA,-59.0809891438447,-61.9572758443286,-94.0513408069611,-6990.54378520253,-4626.64886756933,NA,-60.8781675233556
"HuAgeGBsplit_33",199,-4718.67347602338,-9256.17730634534,-181.169645701419,-4033.20915120093,-563.599051144638,-14479.1454614898,-71180.47223454,NA,-1058.76866813417,-53.652705715553,-181.169645701419,-16378.1684990392,-3741.07758860889,NA,-28.4091409864882
"HuAgeGBsplit_34",181,-8846.80211255927,-17576.2809333066,-117.323291811918,-6664.79283363728,-626.818821160477,-28487.769032976,-28548.2721484149,NA,-117.182497460611,-29.2463017739578,-117.323291811918,-7949.45333227688,-2573.45303122655,NA,-20.0144549750446
"HuAgeGBsplit_35",161,-4222.05712130129,-8376.81159430305,-67.3026482995326,-10963.0569994248,-833.950440050725,-13652.7724086004,-5790.56618918126,NA,-47.0826707661824,-38.7610875181991,-67.3026482995326,-8023.43960607557,-4927.19333959131,NA,-43.936502311204
"HuAgeGBsplit_36",121,-5049.15681625991,-10014.8124412438,-83.5011912760071,-3917.22844525625,-367.946770675745,-16112.3964372314,-96709.4505832854,NA,-2313.27161429935,-31.8101195525864,-83.5011912760071,-5862.36607779655,-1629.0212283691,NA,-37.9754205237828
"HuAgeGBsplit_37",121,-4325.63125804752,-8585.23842483644,-66.0240912585992,-4924.44071983633,-402.582243657423,-12246.0361298366,-15170.5825562911,NA,-67.2575343836007,-20.1081609625737,-66.0240912585992,-7391.48840908503,-1690.01871944285,NA,-21.3864728335766
"HuAgeGBsplit_38",113,-928.622669345493,-1813.74275224254,-43.502586448449,-1337.51619899806,-155.234016464321,-2289.96930548702,-462321.69545452,NA,-4398.81403200947,-23.7569103493163,-43.502586448449,-7825.52772862022,-2117.50331263815,NA,-22.676225608004
